id,name,brewer,style,abv,rank,av_rating,n_reviews,n_ratings,desc
5481,Estrella Galicia Especial,"Hijos De Rivera, S.A.",German Helles,5.5%,70,2.97,111,296,"ace en 1972 como la Especial Rivera. Pronto se convirtió en la cerveza más representativa de la Compañía.  Elaborada a partir de un mosto específico, en el único centro de producción de Hijos de Rivera, en A Coruña. Los Maestros Cerveceros emplean en su fabricación aproximadamente un mes de trabajo, el 50% del cual se dedica a su guarda en frío.  Cerveza dorada y brillante. Excelente balance aromático entre las maltas y lúpulos. En boca ligeramente floral y herbal, de calidez moderada y con una intensa y prolongada sensación lupulada. Born in 1972 as “Especial Rivera”, it would soon become Company’s most representative beer.  Brewed by Hijos de Rivera’s Brewmasters in the only Company’s brewery placed in A Coruña. It takes a whole month to be brewed, half of it inside the maturing tanks.  Golden color. Clean and bright. Excellent aromatic balance between malts and hops. Lightly floral and herbal flavors, with a moderate warm mouthfeel, and an intense hoppy bitter taste that lingers in the mouth."
105785,Andechser Vollbier Hell,Klosterbrauerei Andechs,German Helles,4.8%,90,4.05,82,289,"Its head is firm and fine pored. Its aroma is pure and fresh from the cellar, with soft malty accents imbued with floral hoppiness. Its light and soft body leaves a pleasant, tangy taste in the mouth. The mild sweetness marries well with the velvety bitterness of the hops. It concludes on a rounded, harmonious note. Andechser Vollbier Hell is therefore a classical Bavarian Vollbier."
384,Penn Gold,Pennsylvania Brewing Company,German Helles,4.5%,85,3.79,138,254,"ationally acclaimed as the best Munich-style beer made in America. Penn Gold is a light-colored, medium bodied lager beer with a delicate hop aroma."
329418,Firestone Lager,Firestone Walker Brewing Co.,German Helles,4.5%,87,3.92,98,245,"We created our first Firestone Lager in 2000, and it proved to be well ahead of its time. Now it's back, new and improved, for those who finally want a better lager. In a craft world dominated by hoppy beers, we have gone back to basics with Firestone Lager. this is our hardest beer to make--and our easiest one to drink. Made in the classic all-malt Munich Helles style, Firestone Lager demands technical perfection from our brewing team, with a transparent canvas that would otherwise reveal the smallest flaw. Gambrinus pilsner malt establishes a crisp, dry base with a soft mouthfeel, while noble German hops provide just a whisper of bitterness. The result is an impossibly smooth and immensely drinkable beer that aims to help redefine American Lager.  In the words of Brewmaster Matt Brynildson, ""Firestone Lager is made for drinking, not thinking. It's all about enjoying a good, clean beer."""
9298,Henninger Premium Lager,Henninger Bräu AG,German Helles,4.8%,71,3.02,143,215,
46792,Gold Leaf Lager,Devils Backbone Brewing Company,German Helles,4.5%,81,3.56,52,207,
147101,Where The Helles Summer?,Southern Tier Brewing Company,German Helles,4.6%,85,3.8,44,206,Where the Helles Summer? is a classic German style lager. These beers originated in the 19th century as a response to Pilsener beers from Czech brewers. Helles is German for “bright.” In the brewing world we translate it as “light” – light in color and light in alcohol. Where the Helles Summer? is a clean & bready “beer drinker’s beer” balanced with austere noble hop varieties. It’s malt-forward and forward thinking to the warmer days just ahead.
43881,Lager House Original Golden Helles,Christian Moerlein Brewing Company,German Helles,5.2%,80,3.5,64,194,
12993,Thomas Hooker Munich-Style Lager,Thomas Hooker Brewing Company,German Helles,4.8%,88,3.95,118,183,"A true Helles style, our lager is golden in color with a pleasant, malty aroma balanced by a rich, smooth flavor. Using only the finest Bavarian malts and finished with Saaz hops, one sip will make you feel like you're in one of Germany's finest beer gardens."
73681,Rahr's Blonde,Rahr & Sons Brewing Company,German Helles,5%,78,3.41,20,180,"Rahr's Blonde Lager was the first beer to come out of Rahr & Sons Brewing Company. It is a medium-bodied traditional Munich-style Helles Lager that features a rounded maltiness without being too heavy. And like every proud Texan, it has a good head, is pleasant – but not overly sweet. Have some fun with a blonde today!"
13016,Helles,Mahr's Bräu,German Helles,4.9%,88,3.97,90,177,"Beer sensory characteristics: A creamy, compact head crowns the glass. Brilliant, delicately pearled with bubbles, and golden yellow; it captivates the eye of the true connoisseur. The aroma is lightly reminiscent of flowering hops. The body is pure, mild, discretely aromatic, coupled with a slight sweetness. The finish is soft, with a hint of maltiness. A lager that awakens the desire to drink it again and again. Mahrs Bräu Hell pairing recommendation: to cooked or fried fish dishes, salads, mild cheeses, stews."
219880,Heaven Or Helles,Boston Beer Company (Samuel Adams),German Helles,5%,83,3.67,44,177,
19956,Blonde Lager,Rahr & Sons Brewing Company,German Helles,4.8%,78,3.38,78,163,
276538,Marie,Hill Farmstead Brewery,German Helles,5%,92,4.2,31,148,"Unfiltered Helles Lager Marie-Ange (1907 - 1996) is our maternal great-grandmother, fondly remembered as Mémé. Born in Quebec, she emigrated to the Northeast Kingdom with her husband Edward J. Fournier. In her honor, we brew a beautifully soft, unfiltered Helles lager. Lightly hazy, naturally carbonated and truly enjoyable, this is the beer we dream to have shared with Marie"
4528,Andechser Spezial Hell,Klosterbrauerei Andechs,German Helles,5.8%,86,3.88,73,148,"Its clear gleaming look and firm, fine pored head goes hand in hand with its fresh and pure aroma. Malty nuances are the first impressions. Spezial Hell is pleasantly tangy with a full, round malt body that cannot fail to fascinate. The soft flavour carries a distinctive balance of sweet accents and bitter hoppiness. It concludes on equally soft malty nuances – a classical festival beer in the tradition of old Bavarian brewing."
313586,Alpenflo,Sixpoint Brewery,German Helles,4.9%,91,4.14,65,147,"Some beers are easy to make and difficult to drink… but Alpenflo is the opposite on both counts. It took years to acquire the materials and formula for Alpenflo—we’re talking all-malt, 100% 2-row barley, and we source all of the Tettnanger hops directly from family farms in Bavaria to give it that gentle spice. This lager is then cold-stored in horizontal lagering tanks to round out the flavor profile. Once opened, that frothy beverage is gone in a flash."
44831,Helles Lager,Fordham Brewing Company,German Helles,5.4%,80,3.51,56,146,"Clean & refreshing, this Bavarian style lager uses four different German grains & three hop varieties to create an intricate flavor profile & a beautiful deep golden color. Helles is brewed in the style of Munich’s everyday drinking beer. Prost!"
9603,Hacker-Pschorr Edelhell,Hacker-Pschorr Bräu GmbH,German Helles,5.5%,82,3.65,113,142,
869,Hacker-Pschorr Münchner Hell,Hacker-Pschorr Bräu GmbH,German Helles,4.9%,85,3.82,58,141,
