id,name,brewer,style,abv,rank,av_rating,n_reviews,n_ratings,desc
10094,Colonel Blides Cask Ale,Cricket Hill Brewing Co.,English Bitter,5.5%,82,3.62,57,98,5.5% ABV 31 IBU'S
14511,Boddingtons Bitter,Boddingtons,English Bitter,3.8%,70,2.97,29,88,
22363,XB Bluebird Bitter,Coniston Brewing Co. Ltd,English Bitter,4.4%,82,3.63,55,85,
4059,Pitchfork Rebellious Bitter,RCH Brewery,English Bitter,4.3%,84,3.74,59,82,The name comes from the Pitchfork rebellion of 1685 the last battle to be fought on English soil of the Civil War. A golden bitter with floral citric hop aroma. It has a hoppy predominate taste which is slightly sweet and fruity and leaves you wanting more.
4074,Old Brewery Bitter,Samuel Smith Old Brewery (Tadcaster),English Bitter,4%,83,3.72,33,78,
14297,HopHead,Dark Star Brewing Company Limited,English Bitter,3.8%,87,3.9,31,77,An extremely clean-drinking pale golden ale with a strong floral aroma and elderflower notes from the Cascade hops. This beer is full-bodied and full-flavoured yet gentle enough to make it a favourite session beer. 50 IBU
61950,Little Dog,Hair Of The Dog Brewing Company / Brewery And Tasting Room,English Bitter,3.5%,82,3.62,19,73,"An experimental beer, moderately hopped and low alcohol. First made from second runnings of Doggie Claws 2010; subsequent releases of Fred or Adam second runnings."
2933,Camerons Strongarm,Castle Eden & Camerons Brewing Company Ltd,English Bitter,4%,84,3.74,55,68,
10597,St. Peter's Best Bitter,St. Peter's Brewery Co Ltd,English Bitter,3.7%,80,3.52,43,67,A traditional best bitter ale brewed wth Pale and Crystal malts and Goldings aroma hops. The result is a full-bodied ale with distinctive fruity caramel notes. Brewed with skill and patience in one of Britain's finest small breweries.
3152,HSB (Horndean Special Bitter),George Gale & Company Ltd,English Bitter,4.8%,88,4.01,44,65,
20842,St. Patrick's Best,Strangford Lough Brewing Company Ltd,English Bitter,4.2%,81,3.6,49,65,
10403,Boltmaker,Timothy Taylor's,English Bitter,4%,89,4.05,27,64,"A well-balanced, genuine Yorkshire Bitter, with a full measure of maltiness and hoppy aroma – Boltmaker is first choice for the discerning drinker – on both sides of the Pennines. Formerly known as Best Bitter, Boltmaker has won many awards over the years but most recently it was awarded the CAMRA Supreme Champion Beer of Britain in 2014 and Champion Beer of Britain – Bitter category in 2016. The ABV in bottle is 4.2%."
11445,West Bank Pub Ale,Minneapolis Town Hall Brewery,English Bitter,4.8%,86,3.85,47,62,British style pale ale featuring the the rich character of UK Golden Promise malt with a distinct finish from the use of British Fuggles and Golding hops.
35153,Hooky Bitter,Hook Norton Brewery Co. Ltd.,English Bitter,3.5%,86,3.87,45,61,
23975,Adnams Bitter,"Adnams plc, Sole Bay Brewery",English Bitter,4.1%,83,3.71,44,61,
2436,St. Peter's Organic Best Bitter,St. Peter's Brewery Co Ltd,English Bitter,4.1%,87,3.94,30,60,
4775,Jeffrey Hudson Bitter,Oakham Ales / The Brewery Tap,English Bitter,3.8%,88,3.97,39,60,
36604,Hopping Hare,"Badger Brewery, Hall and Woodhouse",English Bitter,4.5%,80,3.53,23,60,
35547,Pure UBU,Purity Brewing Co,English Bitter,4.5%,82,3.65,27,56,
62442,Apparition Ale,Moon River Brewing Company,English Bitter,4.8%,78,3.38,12,56,
2454,Brains The Rev. James,Brains,English Bitter,4.5%,80,3.55,26,55,"The Rev. James beer is one steeped in history. Acquired after the purchase of Crown Buckley, Rev. James is brewed to an original recipe dating back to 1885. The beer is named after one of the original owners of Buckley Brewery, the Rev, James Buckley, a business man with two conflicting roles – saving souls and satisfying thirsts. The Rev. James is brewed to a traditional recipe and has been described as having a flavour not commonly available these days. Full-bodied and warming, The Rev. James is rich in palate, spicy and aromatic with a deeply satisfying finish."
86242,Uncle Bob's Bitter,Riverwalk Brewing,English Bitter,4.5%,79,3.44,18,54,
6201,Old Leg Over,Daleside Brewery,English Bitter,4.1%,80,3.55,44,52,
32569,SOB (Special Old Bitter),Pump House Brewery,English Bitter,5%,83,3.73,29,51,A deep honey-coloured unfiltered west coast style session beer with the classic fresh aromatic hop bouquet mingling with malty undertones for excellent balance finishing with a pleasant lingering bitterness. A great thirst quencher or the perfect buffer with spicy foods!
5008,Best Bitter,Black Sheep Brewery PLC,English Bitter,3.8%,82,3.63,15,51,
5965,Anvil Ale,Iron Hill Brewery & Restaurant,English Bitter,4.8%,82,3.67,24,49,Medium-bodied and copper-colored English-style best bitter with a noticeable malt flavor. Finishes with a hop bitterness and floral hop flavor. 30 IBU
14001,Master Brew Kentish Ale,Shepherd Neame Ltd,English Bitter,4%,77,3.33,29,49,
4024,Courage Best Bitter,Eagle Brewery,English Bitter,4%,73,3.09,19,49,
139000,Chapter XXXIX: Return Of The Lambton Dragon,Insight Brewing,English Bitter,4.1%,82,3.65,10,49,Formerly Lamb & Flag ESB
67887,Bachelor Bitter,Deschutes Brewery,English Bitter,5%,82,3.66,8,47,"Bachelor Bitter is a well-rounded traditional style English pub bitter that is always on tap at our pubs. Its full-flavored perfection comes from crystal malts, providing caramelized and toasted sugar notes, and generous amounts of English and domestic hops. IBU 50"
18556,Bedarö Bitter,Nynäshamns Ångbryggeri,English Bitter,4.5%,86,3.87,29,47,
2451,Brains SA,Brains,English Bitter,4.2%,79,3.45,25,47,"In the mid-1950’s Brains introduced SA Best Bitter. This was quickly shortened to the easier bar call of SA and has become one of our most famous beers recognised throughout the country and further a field. SA celebrated its 50th birthday last year which is a testament to its popularity and is currently displayed on the Welsh rugby shirt. The renowned ‘special ale’ is copper coloured with a full premium quality flavour. A nutty richness derived from a blend of fine pale and crystal malts is balanced with a satisfying dryness from the unique use of three hops: Challenger, Goldings and Fuggles. The aroma has a hint of spirit which adds to the legendary mystique of this premium cask beer."
12971,Betty Stogs,Skinner's Brewery,English Bitter,4%,83,3.73,14,47,
43289,Licht & Lustig,Brouwerij De Molen,English Bitter,4.5%,82,3.65,13,46,Formerly Amerikaans Dry hopped with Amarillo De Molen beers are not all about heavy flavours and body. Now and then it’s time for something different and refreshing. This light amber coloured Bitter with an American touch is a great example. English Bitters are mild and malty. American hops give an ale a bitter citrus and grassy character. Amerikaans has the best of both the old and the new world. A very delicious session beer at 4.5% ABV. 30 IBU
13084,Barnsey,Bath Ales Ltd,English Bitter,4.5%,83,3.71,21,46,
35514,S.O.B. (Special Old Bitter),Wild Rose Brewery & Taproom,English Bitter,4.1%,79,3.44,23,44,"Golden-bronze colour and light in body, Wild Rose S.O.B. is delicately hopped and refreshingly delicious. Very gentle and approachable, this classic English ale is an excellent choice to enjoy as a ""session beer. 23 IBU"
80580,Fripp,Tired Hands Brewing Company,English Bitter,4.6%,86,3.89,6,44,American Bitter. Brewed with a plethora of specialty malts. Hopped with Cascade.
27854,Banks's Bitter,Marston's PLC,English Bitter,3.7%,74,3.13,19,44,
57877,Murray's Punch & Judy,Murray's Craft Brewing Co.,English Bitter,3.9%,85,3.84,29,43,
106722,Whitstable Bay Pale Ale,Shepherd Neame Ltd,English Bitter,4%,78,3.37,11,42,
8082,Goldings,Shepherd Neame Ltd,English Bitter,4.7%,78,3.4,38,41,
42508,Young's London Gold (Kew Gold),Eagle Brewery,English Bitter,4.5%,80,3.51,27,40,
12549,Organic Yellowhammer,Black Isle Brewery Co Ltd,English Bitter,4%,84,3.75,18,39,"""A golden, straw coloured bitter, brewed with Cascade hops adding a flinty, grapefruit aroma that is deliciously refreshing."""
42706,London Calling,Zero Gravity Craft Brewery / American Flatbread,English Bitter,3.5%,82,3.67,13,39,"Maltier and less bitter than an American pale ale, this true session ale is all about balance."
12660,Best Bitter,Dick's Brewing Company,English Bitter,5.5%,81,3.58,29,38,
12744,Raven Ale,Orkney Brewery,English Bitter,3.8%,80,3.52,23,38,"Malty aroma with a touch of fruit, Raven has a malt character which is both biscuity and toasty. This is beautifully balanced with a clean spicy orange bitterness.  The Raven was a magical creature in the Viking folklore. Legend claimed they had the eyes and ears of Odin himself. The birds were used on long voyages to guide the Viking long ships, they were released on the seas and if they did not return, it signalled that land was close."
49413,Adnams Gunhill,"Adnams plc, Sole Bay Brewery",English Bitter,4%,81,3.59,20,37,
12060,Little Barley Bitter,Barley John's Brew Pub,English Bitter,3.5%,80,3.54,18,37,
46698,Bailout Bitter,Howe Sound Inn & Brewing Company,English Bitter,5%,87,3.97,24,37,
94831,"English Pale Ale ""British Bitter""",The Civil Life Brewing Company,English Bitter,4.2%,85,3.85,6,37,"Our look at British Pale Ale is a bit more opportunistic but still within the ""Special/Best/Premium"" style. We wanted a nice bright session beer with the Bitter concept (medium Gold, good clarity, low maltiness, dry finish, bitterness) and came up with one that incorporates North American Hops- Centennial- that keep the beer punchy. This is a newish trend within the style and one that we feel keeps the flavor bright and refreshing.)"
73689,Bob's Your Uncle,Round Barn Brewery,English Bitter,4.8%,77,3.32,10,37,
13926,Butcombe Bitter,Butcombe Brewery Ltd.,English Bitter,4.5%,85,3.86,17,36,
27758,Sussex Best Bitter,Harvey & Son Ltd.,English Bitter,4%,85,3.86,13,36,
23210,Sassy Red,Mac's Brewery,English Bitter,4.5%,82,3.66,21,36,
4020,John Smith's Bitter,John Smith's Brewery (Heineken UK),English Bitter,3.6%,71,2.94,19,35,"John Smith’s bitter, which is still going strong, is a malty, bitter sweet ale with a slight fruitiness and a bitter aftertaste – we probably took the words right out of your mouth. John Smith’s Original can be enjoyed in cans at home (3.6% ABV), plus there’s the Cask Ale available on the bar (3.8% ABV)."
16461,Oliver's Best Bitter,Pratt Street Ale House,English Bitter,4.8%,88,4.04,23,34,A general term for what is perhaps the highest expression of the brewer's craft. Amber not filtered and true to style. A natural with fish and chips.
26750,Tomos Watkin Old Style Bitter,The Hurns Brewing Co.,English Bitter,4.5%,83,3.72,23,34,"A rich red premium cask ale produced using pale ale, crystal and wheat malt. A full fruity/citrus hop flavour of willamette and fuggle with the light aroma of goldings. Bronze medalist at The GBBF 1999 and runner up in The Champion Ale of Wales 1999."
8260,Daniel Shay's Best Bitter,Northampton Brewery,English Bitter,,83,3.71,18,33,
28540,First Gold,"Badger Brewery, Hall and Woodhouse",English Bitter,4%,77,3.33,20,33,
10144,Rousse Bitter,La Barberie,English Bitter,4.5%,81,3.57,26,33,
11439,Double Drop,"Marston, Thompson & Evershed, Plc.",English Bitter,5%,76,3.28,16,33,
41264,ESB,Hargreaves Hill Brewing Company,English Bitter,5.2%,84,3.79,26,32,
8900,'taint Town Pale Ale,Federal Jack's Restaurant & Brew Pub,English Bitter,4.8%,77,3.33,17,32,"Classic style of a British Bitter. Clean, crisp and aromatic with a subtle balance between malt and hops - a local favorite."
24387,Seafarers,George Gale & Company Ltd,English Bitter,4.5%,79,3.43,12,31,
32862,Blue,Ridgeway Brewing,English Bitter,5%,84,3.78,20,30,
9391,Norfolk Wherry Best Bitter,Woodforde's Norfolk Ales,English Bitter,3.8%,84,3.79,15,30,
46812,St. Peter's G-Free (Gluten Free Beer),St. Peter's Brewery Co Ltd,English Bitter,4.2%,73,3.03,14,30,
83425,SB 604,Hardywood Park Craft Brewery,English Bitter,3.8%,81,3.62,3,30,"In the case of the beers released with this name, the ""SB"" stands for ""session beer"" referring to ales or lagers of a milder alcohol content (typically lower than 4.0% ABV). The brewers who spent weeks lobbying on behalf of SB 604 with senators and delegates at Virginia's General Assembly plan to release different variations of SB 604 beers that will be session beers only available for consumption on site at their respective breweries. The ""Special Bitter"" version of this beer offered by Hardywood is very sessionable, at 3.8% ABV. A moderate caramel malt character and some fruity notes provide plenty of complexity and flavor to this beer, which beautifully complements citrusy, high alpha American aroma hops. Dry-hopped with slightly peppery horizon hops, this beer displays the high degree of balance that has become a signature of Hardywood's beers. A relatively dry finish keeps this beer both refreshing and enticing. 32 IBU"
58084,Revival,Moor Beer Company,English Bitter,4%,85,3.85,13,30,
7350,Best,Harvey & Son Ltd.,English Bitter,4%,86,3.91,15,29,
18652,Barn Owl Premium Bitter,Cotleigh Brewery,English Bitter,4.5%,84,3.77,22,29,
27694,Tomos Watkin's Cwrw Braf,The Hurns Brewing Co.,English Bitter,4.2%,82,3.66,21,28,"Cwrw Braf is a clean-drinking, amber-coloured ale with a light bitterness and gentle hop aroma. A session bitter yet, with all the flavours and quality you would expect from a Tomos Watkin premium ale."
11709,Skye Gold,Isle Of Skye Brewery,English Bitter,4.3%,82,3.69,15,28,
12480,Live Organic,W.H. Brakspear & Sons plc,English Bitter,4.6%,83,3.76,27,28,
126466,Piledriver,Wychwood Brewery Company Ltd,English Bitter,4.3%,80,3.55,2,27,
52239,Golden Hare,Bath Ales Ltd,English Bitter,4.4%,79,3.45,12,27,
24919,Bishop's Tipple,Wadworth and Company Ltd.,English Bitter,6.5%,84,3.82,15,27,Cask version 5.5% ABV
123770,Kilntym,Tired Hands Brewing Company,English Bitter,4%,84,3.78,2,27,Bitter brewed with toasted buckwheat.
66540,Little Dog (Fred),Hair Of The Dog Brewing Company / Brewery And Tasting Room,English Bitter,3.2%,85,3.85,11,26,Made from second runnings of Fred (also called 'Little Dog')
20467,Crouch Vale Brewers Gold,Crouch Vale Brewery Limited,English Bitter,4%,86,3.96,16,26,
19449,Royal Oak Traditional Bitter,Hanlons Brewery,English Bitter,5%,84,3.84,23,26,
35658,Banks's Bitter,"Marston, Thompson & Evershed, Plc.",English Bitter,3.8%,75,3.13,10,25,
6817,Ruddles Best,Greene King / Morland Brewery,English Bitter,3.7%,77,3.29,8,25,
242866,Mooey,Bonn Place Brewing Co.,English Bitter,4.8%,84,3.83,4,25,
18651,Golden Seahawk,Cotleigh Brewery,English Bitter,4.2%,82,3.69,20,25,A bright golden coloured best bitter formerly called Golden Eagle.
2530,Best Bitter,Granite Brewery & Restaurant,English Bitter,4.5%,82,3.68,14,25,"A rich copper coloured bitter, well hopped in the English tradition with a pleasant hop fragrance and a smooth dry finish."
5131,Arbor Brewing Huxell Best Bitter,Arbor Brewing Company,English Bitter,3.25%,84,3.81,11,24,
8253,Victory Bitter,The Lord Nelson Brewery Hotel,English Bitter,4.5%,80,3.54,13,24,
4471,Somers Amber Ale,The Frog & Onion Pub,English Bitter,5%,77,3.29,12,24,"The flagship ale of Dockyard Brewing. This copper coloured ale is a traditional English Bitter. Created using the finest Noble hops, this brew is an all-around crowd pleaser to be enjoyed with all foods!"
56734,Triple B,Oxfordshire Ales,English Bitter,3.7%,79,3.44,18,24,
27557,Edinburgh Gold,Stewart Brewing Ltd,English Bitter,4.8%,81,3.63,6,24,
2750,Moylan's Special Bitter (MSB),Moylan's Brewery,English Bitter,5.2%,81,3.58,13,24,
